benchmark,model,mode,axis,score,n
jcq,gemma4:e2b-it-qat,max,elaboration,2.0,1
jcq,gemma4:e2b-it-qat,max,flexibility,6.0,1
jcq,gemma4:e2b-it-qat,max,fluency,4.0,1
jcq,gemma4:e2b-it-qat,max,originality,5.0,1
jcq,gemma4:e2b-it-qat,max,elaboration,5.0,1
jcq,gemma4:e2b-it-qat,max,flexibility,7.0,1
jcq,gemma4:e2b-it-qat,max,fluency,6.0,1
jcq,gemma4:e2b-it-qat,max,originality,7.0,1
novel-ja,gemma4:e2b-it-qat,max,character_emotion,3.0,1
novel-ja,gemma4:e2b-it-qat,max,coherence,3.0,1
novel-ja,gemma4:e2b-it-qat,max,ending_resonance,0.0,1
novel-ja,gemma4:e2b-it-qat,max,instruction_following,1.0,1
novel-ja,gemma4:e2b-it-qat,max,japanese_naturalness,3.0,1
novel-ja,gemma4:e2b-it-qat,max,originality,1.0,1
novel-ja,gemma4:e2b-it-qat,max,prose_quality,3.0,1
novel-ja,gemma4:e2b-it-qat,max,show_dont_tell,2.0,1
novel-ja,gemma4:e2b-it-qat,max,character_emotion,2.0,1
novel-ja,gemma4:e2b-it-qat,max,coherence,2.0,1
novel-ja,gemma4:e2b-it-qat,max,ending_resonance,0.0,1
novel-ja,gemma4:e2b-it-qat,max,instruction_following,1.0,1
novel-ja,gemma4:e2b-it-qat,max,japanese_naturalness,5.0,1
novel-ja,gemma4:e2b-it-qat,max,originality,2.0,1
novel-ja,gemma4:e2b-it-qat,max,prose_quality,3.0,1
novel-ja,gemma4:e2b-it-qat,max,show_dont_tell,4.0,1
jcq,gemma4:e2b-it-qat,min,elaboration,4.0,1
jcq,gemma4:e2b-it-qat,min,flexibility,6.0,1
jcq,gemma4:e2b-it-qat,min,fluency,6.0,1
jcq,gemma4:e2b-it-qat,min,originality,7.0,1
jcq,gemma4:e2b-it-qat,min,elaboration,6.0,1
jcq,gemma4:e2b-it-qat,min,flexibility,7.0,1
jcq,gemma4:e2b-it-qat,min,fluency,6.0,1
jcq,gemma4:e2b-it-qat,min,originality,6.0,1
novel-ja,gemma4:e2b-it-qat,min,character_emotion,3.0,1
novel-ja,gemma4:e2b-it-qat,min,coherence,3.0,1
novel-ja,gemma4:e2b-it-qat,min,ending_resonance,0.0,1
novel-ja,gemma4:e2b-it-qat,min,instruction_following,2.0,1
novel-ja,gemma4:e2b-it-qat,min,japanese_naturalness,6.0,1
novel-ja,gemma4:e2b-it-qat,min,originality,3.0,1
novel-ja,gemma4:e2b-it-qat,min,prose_quality,5.0,1
novel-ja,gemma4:e2b-it-qat,min,show_dont_tell,3.0,1
novel-ja,gemma4:e2b-it-qat,min,character_emotion,3.0,1
novel-ja,gemma4:e2b-it-qat,min,coherence,3.0,1
novel-ja,gemma4:e2b-it-qat,min,ending_resonance,0.0,1
novel-ja,gemma4:e2b-it-qat,min,instruction_following,2.0,1
novel-ja,gemma4:e2b-it-qat,min,japanese_naturalness,5.0,1
novel-ja,gemma4:e2b-it-qat,min,originality,2.0,1
novel-ja,gemma4:e2b-it-qat,min,prose_quality,4.0,1
novel-ja,gemma4:e2b-it-qat,min,show_dont_tell,4.0,1
