benchmark,model,mode,axis,score,n
jcq,gemma4:e2b-it-qat,min,elaboration,4.0,1
jcq,gemma4:e2b-it-qat,min,flexibility,5.0,1
jcq,gemma4:e2b-it-qat,min,fluency,5.0,1
jcq,gemma4:e2b-it-qat,min,originality,6.0,1
jcq,gemma4:e2b-it-qat,min,elaboration,6.0,1
jcq,gemma4:e2b-it-qat,min,flexibility,6.0,1
jcq,gemma4:e2b-it-qat,min,fluency,6.0,1
jcq,gemma4:e2b-it-qat,min,originality,5.0,1
novel-ja,gemma4:e2b-it-qat,min,character_emotion,3.0,1
novel-ja,gemma4:e2b-it-qat,min,coherence,4.0,1
novel-ja,gemma4:e2b-it-qat,min,ending_resonance,0.0,1
novel-ja,gemma4:e2b-it-qat,min,instruction_following,2.0,1
novel-ja,gemma4:e2b-it-qat,min,japanese_naturalness,6.0,1
novel-ja,gemma4:e2b-it-qat,min,originality,3.0,1
novel-ja,gemma4:e2b-it-qat,min,prose_quality,5.0,1
novel-ja,gemma4:e2b-it-qat,min,show_dont_tell,3.0,1
novel-ja,gemma4:e2b-it-qat,min,character_emotion,3.0,1
novel-ja,gemma4:e2b-it-qat,min,coherence,3.0,1
novel-ja,gemma4:e2b-it-qat,min,ending_resonance,0.0,1
novel-ja,gemma4:e2b-it-qat,min,instruction_following,2.0,1
novel-ja,gemma4:e2b-it-qat,min,japanese_naturalness,5.0,1
novel-ja,gemma4:e2b-it-qat,min,originality,3.0,1
novel-ja,gemma4:e2b-it-qat,min,prose_quality,4.0,1
novel-ja,gemma4:e2b-it-qat,min,show_dont_tell,5.0,1
